State,State Description,Optimal Action
"(1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,Bajar temperatura
"(1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas lejos | thermal_opinion: muy fría (0–1) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Subir temperatura
"(1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,No hacer nada
"(1.0, 2.0, 0.0, 2.0, 1.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Bajar temperatura
"(1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Prender ventilación
"(1.0, 0.0, 0.0, 2.0, 1.0, 1.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Prender ventilación
"(1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,No hacer nada
"(1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: dispersas | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,Bajar temperatura
"(1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,No hacer nada
"(1.0, 2.0, 2.0, 2.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas lejos | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,No hacer nada
"(1.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 0 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,No hacer nada
"(0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 0 personas | location: agrupadas lejos | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas lejos | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,Bajar temperatura
"(0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,No hacer nada
"(1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,Prender ventilación
"(0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 6–10 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,No hacer nada
"(0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,No hacer nada
"(1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,No hacer nada
"(1.0, 1.0, 0.0, 2.0, 0.0, 1.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Subir temperatura
"(0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,No hacer nada
"(1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Bajar temperatura
"(0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,Bajar temperatura
"(0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,Bajar temperatura
"(0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,Bajar temperatura
"(1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: agrupadas lejos | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 0 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,No hacer nada
"(1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Apagar ventilación
"(0.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,No hacer nada
"(1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,No hacer nada
"(0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,No hacer nada
"(1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: agrupadas lejos | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,Bajar temperatura
"(0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 0 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: dispersas | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Bajar temperatura
"(1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Subir temperatura
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 0 personas | location: dispersas | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,Prender ventilación
"(0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 0 personas | location: agrupadas lejos | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,Prender ventilación
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: dispersas | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 1.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 6–10 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,Subir temperatura
"(1.0, 2.0, 1.0, 2.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 0 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,No hacer nada
"(1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Subir temperatura
"(1.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: agrupadas lejos | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 2.0, 2.0, 0.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas lejos | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Subir temperatura
"(1.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 1.0, 2.0, 0.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Bajar temperatura
"(1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 2.0, 2.0, 1.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas lejos | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,No hacer nada
"(1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0)",temp_interna_discretizada: media (24–30 °C) | n_people: 0 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(0, 0, 0, 1, 0, 2, 0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 0 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,No hacer nada
"(0, 0, 0, 1, 0, 2, 1)",temp_interna_discretizada: baja (15–23 °C) | n_people: 0 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: encendido,Apagar ventilación
"(2, 1, 1, 1, 1, 0, 1)",temp_interna_discretizada: alta (31–38 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,No hacer nada
"(0, 1, 2, 2, 1, 1, 1)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Subir temperatura
"(0, 1, 2, 1, 1, 1, 1)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: neutra (2–3) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Bajar temperatura
"(0, 1, 2, 0, 1, 1, 1)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: muy fría (0–1) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Bajar temperatura
"(1, 1, 2, 2, 1, 1, 1)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Subir temperatura
"(2, 1, 2, 1, 1, 1, 1)",temp_interna_discretizada: alta (31–38 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: neutra (2–3) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,No hacer nada
"(2, 1, 2, 0, 1, 1, 1)",temp_interna_discretizada: alta (31–38 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: muy fría (0–1) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,No hacer nada
"(2, 1, 2, 2, 1, 1, 0)",temp_interna_discretizada: alta (31–38 °C) | n_people: 1–5 personas | location: agrupadas lejos | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: apagado,Prender ventilación
"(2, 1, 0, 1, 1, 2, 0)",temp_interna_discretizada: alta (31–38 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,Apagar ventilación
"(2, 1, 0, 2, 1, 2, 0)",temp_interna_discretizada: alta (31–38 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,Prender ventilación
"(2, 1, 0, 1, 1, 2, 1)",temp_interna_discretizada: alta (31–38 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: encendido,No hacer nada
"(2, 1, 0, 2, 1, 2, 1)",temp_interna_discretizada: alta (31–38 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: encendido,No hacer nada
"(2, 1, 1, 0, 0, 0, 1)",temp_interna_discretizada: alta (31–38 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,No hacer nada
"(2, 1, 1, 2, 0, 0, 1)",temp_interna_discretizada: alta (31–38 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,No hacer nada
"(0, 1, 1, 0, 0, 0, 1)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: encendido,Apagar ventilación
"(0, 1, 0, 1, 0, 2, 0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,No hacer nada
"(0, 1, 0, 0, 0, 2, 0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,Apagar ventilación
"(0, 1, 0, 2, 0, 2, 0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,No hacer nada
"(0, 1, 0, 0, 0, 2, 1)",temp_interna_discretizada: baja (15–23 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: encendido,Bajar temperatura
"(1, 1, 0, 1, 0, 2, 1)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: encendido,Subir temperatura
"(1, 1, 0, 0, 0, 2, 1)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: encendido,Subir temperatura
"(1, 1, 0, 2, 0, 2, 0)",temp_interna_discretizada: media (24–30 °C) | n_people: 1–5 personas | location: dispersas | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,Bajar temperatura
"(0, 2, 0, 0, 0, 0, 0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 6–10 personas | location: dispersas | thermal_opinion: muy fría (0–1) | clases a continuación: no hay clase | temp_externa_discretizada: baja (20–24 °C) | estado del aire: apagado,No hacer nada
"(0, 2, 1, 1, 1, 2, 0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,No hacer nada
"(1, 2, 1, 1, 1, 2, 0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,No hacer nada
"(0, 2, 1, 0, 1, 2, 0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,Prender ventilación
"(0, 2, 1, 2, 1, 2, 0)",temp_interna_discretizada: baja (15–23 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,No hacer nada
"(1, 2, 1, 2, 1, 2, 0)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: apagado,No hacer nada
"(1, 2, 1, 0, 1, 2, 1)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy fría (0–1) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: encendido,No hacer nada
"(2, 2, 1, 2, 1, 2, 1)",temp_interna_discretizada: alta (31–38 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: hay clase | temp_externa_discretizada: alta (31–35 °C) | estado del aire: encendido,No hacer nada
"(1, 2, 1, 2, 0, 1, 1)",temp_interna_discretizada: media (24–30 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: muy calurosa (4–5) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,Subir temperatura
"(2, 2, 1, 1, 0, 1, 1)",temp_interna_discretizada: alta (31–38 °C) | n_people: 6–10 personas | location: agrupadas cerca ventilación | thermal_opinion: neutra (2–3) | clases a continuación: no hay clase | temp_externa_discretizada: media (25–30 °C) | estado del aire: encendido,No hacer nada
